player_id,name,last_season,current_club_id,country_of_birth,age,sub_position,position,foot,height_in_cm,current_club_domestic_competition_id,current_club_name
193321,Luigi Vaccaro,2015,29228,Belgium,32,Central Midfield,Midfield,right,181.0,BE1,Royal Excel Mouscron (-2022)
193885,Robbie Muirhead,2016,43,Scotland,27,Centre-Forward,Attack,left,191.0,SC1,Heart of Midlothian FC
193945,Gastón González,2012,21957,Argentina,35,Central Midfield,Midfield,right,175.0,GR1,AO Platanias
193957,Nikiforos Tsontakis,2014,21957,Greece,29,Right-Back,Defender,right,178.0,GR1,AO Platanias
194177,Minhoca,2018,2423,Portugal,35,Attacking Midfield,Midfield,right,175.0,PO1,CD Santa Clara
194638,Renato Steffen,2021,82,Switzerland,31,Right Winger,Attack,left,170.0,L1,VfL Wolfsburg
194947,Aleksey Evseev,2021,11127,Russia,29,Central Midfield,Midfield,right,184.0,RU1,Ural Yekaterinburg
195359,Doke Schmidt,2022,133,Netherlands,31,Right-Back,Defender,right,177.0,NL1,SC Cambuur Leeuwarden
195762,Víctor García,2019,2420,Venezuela,28,Right-Back,Defender,right,178.0,PO1,Vitória Guimarães SC
196611,Serdar Bingöl,2014,825,Turkey,27,Right-Back,Defender,both,177.0,TR1,Eskisehirspor
196655,Kemal Rüzgar,2020,126,Germany,27,Centre-Forward,Attack,left,185.0,TR1,Caykur Rizespor
196948,Andreas Christensen,2022,131,Denmark,27,Centre-Back,Defender,right,187.0,ES1,FC Barcelona
197166,Fábio Santos,2014,2990,Portugal,30,Goalkeeper,Goalkeeper,left,187.0,PO1,Académica Coimbra
197652,Gabriel Enache,2017,2698,Romania,32,Right-Back,Defender,right,174.0,RU1,Rubin Kazan
197857,Adama Ba,2020,3999,Mauritania,29,Attacking Midfield,Midfield,right,179.0,GR1,PAS Lamia 1964
198074,Arsenio Valpoort,2012,306,Netherlands,30,Left Winger,Attack,right,183.0,NL1,SC Heerenveen
198223,Erkut Baskaya,2013,820,Turkey,29,Right Winger,Attack,left,178.0,TR1,Genclerbirligi Ankara
198395,Jean-David Beauguel,2013,235,France,31,Centre-Forward,Attack,right,196.0,NL1,RKC Waalwijk
198638,João Costa,2021,16795,Portugal,27,Goalkeeper,Goalkeeper,right,186.0,ES1,Granada CF
198736,Berat Tosun,2016,820,Turkey,29,Centre-Forward,Attack,right,179.0,TR1,Genclerbirligi Ankara
199255,Davide Narduzzo,2012,5,Italy,28,Goalkeeper,Goalkeeper,right,185.0,IT1,AC Milan
199553,Jack Leitch,2015,987,Scotland,27,Central Midfield,Midfield,left,170.0,SC1,Motherwell FC
199941,Andrea Beghetto,2018,8970,Italy,28,Left-Back,Defender,left,182.0,IT1,Frosinone Calcio
200119,Gideon Sani,2013,19771,Nigeria,32,Left Winger,Attack,right,180.0,TR1,Akhisarspor
200185,Marco Vittiglio,2012,2921,Italy,29,Right-Back,Defender,right,179.0,IT1,Delfino Pescara 1936
200190,Alessandro Capello,2018,1390,Italy,27,Centre-Forward,Attack,right,183.0,IT1,Cagliari Calcio
200558,Petros,2016,150,Brazil,34,Defensive Midfield,Midfield,right,182.0,ES1,Real Betis Balompié
200777,Alex Pritchard,2018,1110,England,30,Attacking Midfield,Midfield,right,168.0,GB1,Huddersfield Town
201625,Igor Gonchar,2022,61825,Ukraine,30,Right-Back,Defender,right,180.0,UKR1,FK Minaj
203342,Andy Kawaya,2017,354,Belgium,26,Left Winger,Attack,left,174.0,BE1,KV Mechelen
203379,Kaan Baysal,2014,141,Belgium,27,Central Midfield,Midfield,both,176.0,TR1,Galatasaray
203961,Glenn Bijl,2022,2696,Netherlands,27,Right-Back,Defender,right,180.0,RU1,Krylya Sovetov Samara
204023,Hassan,2013,1301,Nigeria,34,Central Midfield,Midfield,right,179.0,PO1,CS Marítimo
205393,Jeffrey Assoumin,2013,969,France,30,Right-Back,Defender,right,173.0,FR1,Montpellier HSC
205415,Mohamed Hamzaoui,2012,969,Morocco,30,Defensive Midfield,Midfield,right,172.0,FR1,Montpellier HSC
205465,Marc-Aurèle Caillard,2021,347,France,29,Goalkeeper,Goalkeeper,right,191.0,FR1,FC Metz
205519,Karim Coulibaly,2019,403,Senegal,30,Centre-Forward,Attack,left,184.0,NL1,Willem II Tilburg
207302,Sergio Rico,2022,583,Spain,29,Goalkeeper,Goalkeeper,right,196.0,FR1,Paris Saint-Germain
